"order_year";"order_month";"payment_type";"total_transactions";"total_revenue"
2018;10;"voucher";4;589.67
2018;9;"voucher";15;4439.54
2018;9;"not_defined";1;0.0
2018;8;"credit_card";4985;797648.89
2018;8;"boleto";1139;143805.9
2018;8;"debit_card";277;46001.33
2018;8;"voucher";295;34969.2
2018;8;"not_defined";2;0.0
2018;7;"credit_card";4755;803674.49
2018;7;"boleto";1229;198041.24
2018;7;"debit_card";242;44866.18
2018;7;"voucher";281;19958.84
2018;6;"credit_card";4813;811508.56
2018;6;"boleto";1100;153350.28
2018;6;"debit_card";182;35672.62
2018;6;"voucher";324;23349.04
2018;5;"credit_card";5497;927556.35
2018;5;"boleto";1263;195378.93
2018;5;"voucher";324;21336.13
2018;5;"debit_card";51;9710.74
2018;4;"credit_card";5455;934306.0
2018;4;"boleto";1287;193547.09
2018;4;"voucher";370;22149.86
2018;4;"debit_card";97;10782.53
2018;3;"credit_card";5691;933770.1
2018;3;"boleto";1352;191538.02
2018;3;"voucher";391;25968.89
2018;3;"debit_card";78;8375.11
2018;2;"credit_card";5253;778803.0
2018;2;"boleto";1325;183112.72
2018;2;"voucher";305;23078.09
2018;2;"debit_card";69;7469.53
2018;1;"credit_card";5520;868880.38
2018;1;"boleto";1518;204844.66
2018;1;"voucher";416;29735.59
2018;1;"debit_card";109;11543.55
2017;12;"credit_card";4377;682859.59
2017;12;"boleto";1160;165584.05
2017;12;"voucher";294;22832.5
2017;12;"debit_card";64;7125.34
2017;11;"credit_card";5897;942856.67
2017;11;"boleto";1509;226292.34
2017;11;"voucher";387;19565.69
2017;11;"debit_card";70;6168.1
2017;10;"credit_card";3524;614327.89
2017;10;"boleto";993;140633.45
2017;10;"voucher";291;18939.97
2017;10;"debit_card";52;5776.57
2017;9;"credit_card";3283;574484.15
2017;9;"boleto";903;131042.24
2017;9;"voucher";287;17545.7
2017;9;"debit_card";43;4690.36
2017;8;"credit_card";3284;521595.69
2017;8;"boleto";938;134289.81
2017;8;"voucher";294;15373.98
2017;8;"debit_card";34;3136.84
2017;7;"credit_card";3086;454988.47
2017;7;"boleto";845;116775.48
2017;7;"voucher";364;18273.94
2017;7;"debit_card";22;2345.03
2017;6;"credit_card";2463;388268.27
2017;6;"boleto";707;107774.16
2017;6;"voucher";239;12809.78
2017;6;"debit_card";27;2424.17
2017;5;"credit_card";2853;445047.31
2017;5;"boleto";772;128652.9
2017;5;"voucher";289;16195.2
2017;5;"debit_card";30;3023.41
2017;4;"credit_card";1846;322087.72
2017;4;"boleto";496;81307.24
2017;4;"voucher";202;11603.07
2017;4;"debit_card";27;2790.0
2017;3;"credit_card";2016;354488.94
2017;3;"boleto";590;82160.53
2017;3;"voucher";200;9621.33
2017;3;"debit_card";31;3592.8
2017;2;"credit_card";1356;226753.56
2017;2;"boleto";398;57476.74
2017;2;"voucher";119;6167.39
2017;2;"debit_card";13;1510.32
2017;1;"credit_card";583;109615.68
2017;1;"boleto";197;24074.43
2017;1;"voucher";61;4054.4
2017;1;"debit_card";9;743.53
2016;12;"credit_card";1;19.62
2016;10;"credit_card";254;48290.62
2016;10;"boleto";63;9679.06
2016;10;"voucher";23;879.07
2016;10;"debit_card";2;241.73
2016;9;"credit_card";3;252.24
